Unterkunft,Website,Aviable apartments,Adress,Koordinates,Price Level,latitude,longitude,Distance to Alte Schule (m)
"„Mondgesicht“, „Reetkaten“ and Zollhaus",https://naturferien-ostsee.de/,3,Strandweg Warnkenhagen,"54.001852317015924, 11.073050025624658",€€,54.001852317015924,11.073050025624658,774.219638705957
Gut Brook,https://gut-brook.de/ferienwohnungen/,13,Gut Brook Dorfstraße 1 23948 Brook,"53.99924344633364, 11.04720779867901",€€,53.99924344633364,11.04720779867901,2394.151637137428
Elmenhof/Cafe im Stall ,https://elmenhof.info/,5,"Dorfstr. 65, 23948 Elmenhorst

","53.99912665832114, 11.092406554964157",€,53.99912665832114,11.092406554964157,570.9866582226449
Jochen Henkels Bauwagen,https://www.ferienhausvermittlung.de/ferienhaus-ostsee/73455-1,1,Dorfstr. 43 Warnkenhagen,"54.000056102380654, 11.077432158574165",€,54.000056102380654,11.077432158574165,432.6185744971995
Baltic Charlets,https://www.baltic-chalets.com/,8,,"54.00049128142989, 11.075215022107257",€€-€€€,54.00049128142989,11.075215022107257,585.8591109585786
Sportplatz,,,,"53.9987108543213, 11.08532510374218",Free,53.9987108543213,11.08532510374218,107.2027477086974
Alte Schule,,,,"53.99886329846064, 11.08371096581948",,53.99886329846064,11.08371096581948,0.0
